2025-07-11 15:03:48,468 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 118020.51, Low: 117956.69, Close: 118020.51, Volume: 25.65734, Closed: False
2025-07-11 15:03:49,945 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 118020.51, Low: 117956.69, Close: 118020.51, Volume: 25.83314, Closed: False
2025-07-11 15:03:51,947 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 118020.51, Low: 117956.69, Close: 118020.5, Volume: 25.97532, Closed: False
2025-07-11 15:03:54,451 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 118020.51, Low: 117956.69, Close: 118020.5, Volume: 26.03509, Closed: False
2025-07-11 15:03:55,950 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 118031.23, Low: 117956.69, Close: 118031.23, Volume: 27.44607, Closed: False
2025-07-11 15:03:57,950 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 118031.23, Low: 117956.69, Close: 118031.23, Volume: 27.90466, Closed: False
2025-07-11 15:03:59,951 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 118031.23, Low: 117956.69, Close: 118031.22, Volume: 28.22738, Closed: True
2025-07-11 15:03:59,952 - WebSocket - Timestamp: 2025-07-11 15:04:00+02:00, Open: 118031.23, High: 118031.23, Low: 118031.23, Close: 118031.23, Volume: 0.0005, Closed: False
2025-07-11 15:04:01,947 - WebSocket - Timestamp: 2025-07-11 15:04:00+02:00, Open: 118031.23, High: 118031.23, Low: 118031.22, Close: 118031.22, Volume: 0.42988, Closed: False
2025-07-11 15:04:03,945 - WebSocket - Timestamp: 2025-07-11 15:04:00+02:00, Open: 118031.23, High: 118031.23, Low: 118031.22, Close: 118031.23, Volume: 0.7169, Closed: False
2025-07-11 15:04:05,945 - WebSocket - Timestamp: 2025-07-11 15:04:00+02:00, Open: 118031.23, High: 118031.23, Low: 118020.5, Close: 118020.51, Volume: 1.92246, Closed: False
2025-07-11 15:04:07,944 - WebSocket - Timestamp: 2025-07-11 15:04:00+02:00, Open: 118031.23, High: 118031.23, Low: 118020.5, Close: 118020.5, Volume: 3.98461, Closed: False
2025-07-11 15:04:09,958 - WebSocket - Timestamp: 2025-07-11 15:04:00+02:00, Open: 118031.23, High: 118031.23, Low: 118020.5, Close: 118020.5, Volume: 4.42122, Closed: False
2025-07-11 15:04:11,949 - WebSocket - Timestamp: 2025-07-11 15:04:00+02:00, Open: 118031.23, High: 118031.23, Low: 118020.5, Close: 118020.51, Volume: 4.80443, Closed: False
2025-07-11 15:04:13,957 - WebSocket - Timestamp: 2025-07-11 15:04:00+02:00, Open: 118031.23, High: 118031.23, Low: 118020.5, Close: 118030.57, Volume: 5.30011, Closed: False
2025-07-11 15:04:15,948 - WebSocket - Timestamp: 2025-07-11 15:04:00+02:00, Open: 118031.23, High: 118031.23, Low: 118020.5, Close: 118030.57, Volume: 5.63142, Closed: False
2025-07-11 15:04:17,952 - WebSocket - Timestamp: 2025-07-11 15:04:00+02:00, Open: 118031.23, High: 118031.23, Low: 118020.5, Close: 118031.23, Volume: 6.56422, Closed: False
2025-07-11 15:07:17,936 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117878.65, Volume: 165.40655, Closed: False
2025-07-11 15:07:19,944 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117878.27, Volume: 166.00951, Closed: False
2025-07-11 15:07:22,514 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117878.27, Volume: 166.33819, Closed: False
2025-07-11 15:07:23,938 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117882.48, Volume: 167.89203, Closed: False
2025-07-11 15:07:25,939 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117890.0, Volume: 168.17737, Closed: False
2025-07-11 15:07:27,937 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117896.0, Volume: 168.54546, Closed: False
2025-07-11 15:07:29,937 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117896.0, Volume: 169.1197, Closed: False
2025-07-11 15:07:32,464 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117873.66, Volume: 169.85765, Closed: False
2025-07-11 15:07:33,955 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117893.99, Volume: 172.03642, Closed: False
2025-07-11 15:07:35,937 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117894.0, Volume: 172.32106, Closed: False
2025-07-11 15:07:37,940 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117894.0, Volume: 172.72043, Closed: False
2025-07-11 15:07:40,432 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117893.99, Volume: 172.99755, Closed: False
2025-07-11 15:07:42,452 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117894.0, Volume: 173.38287, Closed: False
2025-07-11 15:07:44,428 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117893.99, Volume: 173.64847, Closed: False
